id,seeker_post,response_post
GEMMA,"""Quero melhorar minha alimentação, mas adoro comer fast food.""","Hmm. Bem, você está fazendo um bom esforço para mudar seus hábitos alimentares."
LLAMA,"""Quero melhorar minha alimentação, mas adoro comer fast food.""","Então você quer melhorar sua alimentação, mas não quer desistir de comer no McDonald's ou Burger King?"
GPT4,"""Quero melhorar minha alimentação, mas adoro comer fast food.""","""Melhorar a alimentação enquanto ainda aprecia comida fast food é possível. Podemos planejar algumas alternativas saudáveis que você também goste."""
GEMMA,"""Estou lutando para encontrar um equilíbrio entre trabalho e vida pessoal.""",Então você está se sentindo sobrecarregado?
LLAMA,"""Estou lutando para encontrar um equilíbrio entre trabalho e vida pessoal.""","Então, você está se sentindo sobrecarregado com o equilíbrio entre trabalho e vida?"
GPT4,"""Estou lutando para encontrar um equilíbrio entre trabalho e vida pessoal.""","""Encontrar um equilíbrio entre trabalho e vida pessoal é importante. Vamos discutir suas prioridades e como você pode gerir seu tempo de forma mais eficaz."""
GEMMA,"""Tenho medo de falhar quando tento algo novo.""","Então, você se sente ansioso e tem medo de falhar quando tenta algo novo?"
LLAMA,"""Tenho medo de falhar quando tento algo novo.""",Você tem medo de falhar quando tenta algo novo.
GPT4,"""Tenho medo de falhar quando tento algo novo.""","""O medo de falhar é comum. Vamos explorar suas experiências passadas e desenvolver estratégias para lidar com esse medo de maneira mais saudável."""
GEMMA,"""Estou me sentindo desmotivado e sem energia.""",Então você está se sentindo muito estressado e tem muitas coisas acontecendo.
LLAMA,"""Estou me sentindo desmotivado e sem energia.""",Então você está se sentindo muito estressado e tem muitas coisas acontecendo.
GPT4,"""Estou me sentindo desmotivado e sem energia.""","""Desmotivação e falta de energia podem ser sinais de algo mais profundo. Vamos identificar as causas e trabalhar em um plano para aumentar sua motivação."""
GEMMA,"""Gostaria de ser mais organizado, mas nunca consigo manter as coisas em ordem.""","Então, o que você tentou fazer para se tornar mais organizado?"
LLAMA,"""Gostaria de ser mais organizado, mas nunca consigo manter as coisas em ordem.""","Ok. Então, você gostaria de ser mais organizado, e, no momento, parece ser um grande desafio para você."
GPT4,"""Gostaria de ser mais organizado, mas nunca consigo manter as coisas em ordem.""","""Organização pode ser desafiadora. Podemos estabelecer algumas práticas simples que você pode implementar para manter suas coisas em ordem."""
GEMMA,"""Estou preocupado com minha saúde mental, mas não sei a quem recorrer.""","Então, você está preocupado com sua saúde mental e não sabe a quem recorrer."
LLAMA,"""Estou preocupado com minha saúde mental, mas não sei a quem recorrer.""","Bem, você está fazendo a coisa certa  ao vir me ver e compartilhar seus pensamentos. Então, o que você sente sobre a saúde mental?"
GPT4,"""Estou preocupado com minha saúde mental, mas não sei a quem recorrer.""","""Saúde mental é crucial. Vamos falar sobre os recursos disponíveis e como você pode começar a buscar ajuda profissional."""
GEMMA,"""Quero melhorar meu relacionamento com minha família.""","Então, o que você tem feito para melhorar seu relacionamento com sua família?"
LLAMA,"""Quero melhorar meu relacionamento com minha família.""",Então você quer trabalhar em seu relacionamento com sua família?
GPT4,"""Quero melhorar meu relacionamento com minha família.""","""Melhorar o relacionamento familiar pode trazer muitos benefícios. Vamos identificar as áreas problemáticas e desenvolver maneiras de melhorar a comunicação."""
GEMMA,"""Tenho dificuldades para controlar minha ansiedade.""",Então você está se sentindo ansioso.
LLAMA,"""Tenho dificuldades para controlar minha ansiedade.""","Ok. Então, você está tendo dificuldades com sua ansiedade."
GPT4,"""Tenho dificuldades para controlar minha ansiedade.""","""Controlar a ansiedade pode ser difícil. Podemos trabalhar em técnicas de relaxamento e estratégias de enfrentamento que você pode usar no dia a dia."""
GEMMA,"""Estou tentando economizar dinheiro, mas sempre acabo gastando demais.""",Então você está tentando gastar menos e não está conseguindo?
LLAMA,"""Estou tentando economizar dinheiro, mas sempre acabo gastando demais.""","Então, o que você está tentando fazer é economizar dinheiro, mas você está percebendo que acaba gastando mais do que quer?"
GPT4,"""Estou tentando economizar dinheiro, mas sempre acabo gastando demais.""","""Economizar dinheiro requer disciplina. Vamos analisar seus hábitos de gasto e criar um plano de orçamento que funcione para você."""
GEMMA,"""Gostaria de aprender a lidar melhor com o meu tempo.""","Ok. Então, o que você tem feito para lidar com o seu tempo?"
LLAMA,"""Gostaria de aprender a lidar melhor com o meu tempo.""",Claro. E o que te fez decidir que isso é algo que você quer trabalhar?
GPT4,"""Gostaria de aprender a lidar melhor com o meu tempo.""","""Gerenciamento de tempo é uma habilidade valiosa. Vamos explorar suas responsabilidades e criar um cronograma que maximize sua eficiência."""
GEMMA,"""Eu me sinto sozinho, mesmo quando estou cercado de pessoas.""","Então, você está se sentindo sozinho mesmo estando com amigos."
LLAMA,"""Eu me sinto sozinho, mesmo quando estou cercado de pessoas.""","Hmm. Então você se sente sozinho, mesmo quando está cercado de pessoas?"
GPT4,"""Eu me sinto sozinho, mesmo quando estou cercado de pessoas.""","""Sentir-se sozinho é doloroso. Vamos discutir maneiras de fortalecer suas conexões sociais e encontrar atividades que possam ajudá-lo a se sentir mais conectado."""
GEMMA,"""Tenho medo de falar em público.""","Ok. Então, o que você tem feito sobre isso?"
LLAMA,"""Tenho medo de falar em público.""","Então você disse que tem um pouco de ansiedade, hum, com falar em público."
GPT4,"""Tenho medo de falar em público.""","""Falar em público é uma habilidade que pode ser desenvolvida. Podemos praticar juntos e explorar técnicas para aumentar sua confiança."""
GEMMA,"""Quero começar um novo hobby, mas não sei por onde começar.""",Então você quer começar um hobby e não sabe por onde começar.
LLAMA,"""Quero começar um novo hobby, mas não sei por onde começar.""","Então, você quer começar um novo hobby, mas não sabe por onde começar?"
GPT4,"""Quero começar um novo hobby, mas não sei por onde começar.""","""Começar um novo hobby pode ser emocionante. Vamos falar sobre seus interesses e identificar algumas atividades que você pode começar a explorar."""
GEMMA,"""Estou preocupado com meu desempenho no trabalho.""","Então, o que você tentou fazer para melhorar seu desempenho no trabalho?"
LLAMA,"""Estou preocupado com meu desempenho no trabalho.""","Ok. Então, você está se sentindo insatisfeito com seu desempenho no trabalho?"
GPT4,"""Estou preocupado com meu desempenho no trabalho.""","""Desempenho no trabalho é uma preocupação válida. Vamos discutir suas metas e desenvolver um plano para melhorar suas habilidades e produtividade."""
GEMMA,"""Gostaria de encontrar uma maneira de ser mais positivo no dia a dia.""","Então, o que você tem feito para ser mais positivo?"
LLAMA,"""Gostaria de encontrar uma maneira de ser mais positivo no dia a dia.""","Bem, há muitas maneiras de ser mais positivo. Você gostaria de compartilhar comigo o que está acontecendo no momento?"
GPT4,"""Gostaria de encontrar uma maneira de ser mais positivo no dia a dia.""","""Ser mais positivo no dia a dia pode melhorar muito sua qualidade de vida. Vamos identificar algumas práticas de gratidão e pensamento positivo que você pode incorporar."""
